gene	name
ECDH10B_0209	yafL
ECDH10B_0210	yafM
ECDH10B_0213	dinB
ECDH10B_0214	yafN
ECDH10B_0215	yafO
ECDH10B_0216	yafP
ECDH10B_0219	pepD
ECDH10B_0220	gpt
ECDH10B_0221	frsA
ECDH10B_0222	crl
ECDH10B_0223	phoE
ECDH10B_0224	proB
ECDH10B_0225	proA
ECDH10B_0227	ykfI
ECDH10B_0228	yafW
ECDH10B_0229	ykfH
ECDH10B_0230	ykfG
ECDH10B_0231	yafX
ECDH10B_0232	ykfF
ECDH10B_0233	ykfB
ECDH10B_0234	yafY
ECDH10B_0237	yafZ
ECDH10B_0238	ykfA
ECDH10B_0239	perR
ECDH10B_0240	insN-1
ECDH10B_0241	insI-1
ECDH10B_0243	insO-1
ECDH10B_0245	insH-1
ECDH10B_0246	mmuP
ECDH10B_0247	mmuM
ECDH10B_0248	afuC
ECDH10B_0249	afuB
ECDH10B_0250	insB-2
ECDH10B_0251	insA-2
ECDH10B_0252	ykgN
ECDH10B_0253	yagB
ECDH10B_0254	yagA
ECDH10B_0255	yagE
ECDH10B_0256	yagF
ECDH10B_0257	yagG
ECDH10B_0258	yagH
ECDH10B_0261	argF
ECDH10B_0262	insB-3
ECDH10B_0263	insA-3
ECDH10B_0264	yagJ
ECDH10B_0265	yagK
ECDH10B_0266	yagL
ECDH10B_0267	yagM
ECDH10B_0268	yagN
ECDH10B_0269	intF
ECDH10B_0270	yagP
ECDH10B_0271	yagQ
ECDH10B_0272	yagR
ECDH10B_0273	yagS
ECDH10B_0274	yagT
ECDH10B_0275	yagU
ECDH10B_0276	ykgJ
ECDH10B_0277	yagV
ECDH10B_0278	yagW
ECDH10B_0279	yagX
ECDH10B_0280	matC
ECDH10B_0281	matB
ECDH10B_0282	matA
ECDH10B_0283	ykgL
ECDH10B_0284	ykgO
ECDH10B_0285	ykgM
ECDH10B_0286	eaeH
ECDH10B_0287	insE-1
ECDH10B_0288	insF-1
ECDH10B_0289	ykgA
ECDH10B_0290	ykgB
ECDH10B_0291	ykgI
ECDH10B_0292	ykgC
ECDH10B_0293	ykgD
ECDH10B_0294	ykgE
ECDH10B_0295	ykgF
ECDH10B_0296	ykgG
ECDH10B_0297	ykgH
ECDH10B_0298	betA
ECDH10B_0299	betB
ECDH10B_0300	betI
ECDH10B_0301	betT
ECDH10B_0302	yahA
ECDH10B_0303	yahB
ECDH10B_0304	yahC
ECDH10B_0305	yahD
ECDH10B_0306	yahE
ECDH10B_0307	yahF
ECDH10B_0308	mhpT
ECDH10B_0309	yaiL
ECDH10B_0310	frmB
ECDH10B_0311	frmA
ECDH10B_0312	frmR
ECDH10B_0313	yaiO
ECDH10B_0316	insC-1
ECDH10B_0317	insD-1
ECDH10B_0319	yaiP
ECDH10B_0320	yaiS
ECDH10B_0321	tauA
ECDH10B_0322	tauB
ECDH10B_0323	tauC
ECDH10B_0324	tauD
ECDH10B_0325	hemB
ECDH10B_0326	ykiB
ECDH10B_0329	insF-2
ECDH10B_0330	insE-2
ECDH10B_0332	yaiV
ECDH10B_0333	ampH
ECDH10B_0334	sbmA
ECDH10B_0335	yaiW
ECDH10B_0336	yaiY
ECDH10B_0337	yaiZ
ECDH10B_0338	ddlA
ECDH10B_0339	iraP
ECDH10B_0340	phoA
ECDH10B_0341	psiF
ECDH10B_0342	adrA
ECDH10B_0343	proC
ECDH10B_0344	yaiI
ECDH10B_0345	aroL
ECDH10B_0346	yaiA
ECDH10B_0347	aroM
ECDH10B_0348	yaiE
ECDH10B_0349	ykiA
ECDH10B_0350	rdgC
ECDH10B_0351	mak
ECDH10B_0352	araJ
ECDH10B_0353	sbcC
ECDH10B_0354	sbcD
ECDH10B_0355	phoB
ECDH10B_0356	phoR
ECDH10B_0357	brnQ
ECDH10B_0358	proY
ECDH10B_0359	malZ
ECDH10B_0360	acpH
ECDH10B_0361	queA
ECDH10B_0362	tgt
ECDH10B_0363	yajC
ECDH10B_0364	secD
ECDH10B_0365	secF
ECDH10B_0366	yajD
ECDH10B_0367	tsx
ECDH10B_0368	yajI
ECDH10B_0369	nrdR
ECDH10B_0370	ribD
ECDH10B_0371	ribE
ECDH10B_0372	nusB
ECDH10B_0373	thiL
ECDH10B_0374	pgpA
ECDH10B_0375	yajO
ECDH10B_0376	dxs
ECDH10B_0377	ispA
ECDH10B_0378	xseB
ECDH10B_0379	thiI
ECDH10B_0380	yajL
ECDH10B_0381	panE
ECDH10B_0382	yajQ
ECDH10B_0383	yajR
ECDH10B_0384	cyoE
ECDH10B_0385	cyoD
ECDH10B_0386	cyoC
ECDH10B_0387	cyoB
ECDH10B_0388	cyoA
ECDH10B_0389	ampG
ECDH10B_0390	yajG
ECDH10B_0391	bolA
ECDH10B_0392	tig
ECDH10B_0393	clpP
ECDH10B_0394	clpX
EBG00001089635	sraA
ECDH10B_0395	lon
ECDH10B_0396	hupB
EBG00001089507	sau-50
ECDH10B_0397	ppiD
ECDH10B_0398	ybaV
ECDH10B_0399	ybaW
ECDH10B_0400	queC
ECDH10B_0401	ybaE
ECDH10B_0402	cof
ECDH10B_0403	ybaO
ECDH10B_0404	mdlA
ECDH10B_0405	mdlB
ECDH10B_0406	glnK
ECDH10B_0407	amtB
ECDH10B_0408	tesB
ECDH10B_0409	ybaY
ECDH10B_0410	ybaZ
ECDH10B_0412	ybaA
ECDH10B_0413	ylaB
ECDH10B_0414	ylaC
ECDH10B_0415	maa
ECDH10B_0416	hha
ECDH10B_0417	ybaJ
ECDH10B_0418	acrB
ECDH10B_0419	acrA
ECDH10B_0420	acrR
ECDH10B_0421	kefA
ECDH10B_0422	ybaM
ECDH10B_0423	priC
ECDH10B_0424	ybaN
ECDH10B_0425	apt
ECDH10B_0426	dnaX
ECDH10B_0427	ybaB
ECDH10B_0428	recR
ECDH10B_0429	htpG
ECDH10B_0430	adk
ECDH10B_0431	hemH
ECDH10B_0432	aes
ECDH10B_0433	gsk
ECDH10B_0434	ybaL
ECDH10B_0435	fsr
ECDH10B_0436	ushA
ECDH10B_0437	ybaK
EBG00001089564	sroB
ECDH10B_0439	ybaP
ECDH10B_0440	ybaQ
ECDH10B_0441	copA
ECDH10B_0442	ybaS
ECDH10B_0443	ybaT
ECDH10B_0444	cueR
ECDH10B_0445	ybbJ
ECDH10B_0446	qmcA
ECDH10B_0447	ybbL
ECDH10B_0448	ybbM
ECDH10B_0449	ybbN
ECDH10B_0450	ybbO
ECDH10B_0451	tesA
ECDH10B_0452	ybbA
ECDH10B_0453	ybbP
ECDH10B_0454	rhsD
ECDH10B_0455	ybbC
ECDH10B_0456	ylbH
ECDH10B_0458	ylbG
ECDH10B_0459	ybbB
ECDH10B_0460	allS
ECDH10B_0461	allA
ECDH10B_0462	allR
ECDH10B_0463	gcl
ECDH10B_0464	hyi
ECDH10B_0465	glxR
ECDH10B_0466	ybbV
ECDH10B_0467	ybbW
ECDH10B_0468	allB
ECDH10B_0469	ybbY
ECDH10B_0470	glxK
EBG00001089690	STnc480
ECDH10B_0471	ylbA
ECDH10B_0472	allC
ECDH10B_0473	allD
ECDH10B_0474	fdrA
ECDH10B_0475	ylbE
ECDH10B_0476	ylbF
ECDH10B_0477	ybcF
ECDH10B_0478	purK
ECDH10B_0479	purE
ECDH10B_0480	lpxH
ECDH10B_0481	ppiB
ECDH10B_0482	cysS
ECDH10B_0483	ybcI
ECDH10B_0484	ybcJ
ECDH10B_0485	folD
ECDH10B_0486	sfmA
ECDH10B_0487	sfmC
ECDH10B_0488	sfmD
ECDH10B_0489	sfmH
ECDH10B_0490	sfmF
ECDH10B_0491	fimZ
ECDH10B_0493	intD
ECDH10B_0494	ybcC
ECDH10B_0496	insE-3
ECDH10B_0497	insF-3
ECDH10B_0498	renD
ECDH10B_0499	emrE
ECDH10B_0500	ybcK
ECDH10B_0501	ybcL
ECDH10B_0502	ybcM
ECDH10B_0503	ybcN
ECDH10B_0504	ninE
ECDH10B_0505	ybcO
ECDH10B_0506	rusA
ECDH10B_0507	ylcG
ECDH10B_0508	ybcQ
ECDH10B_0510	insH-2
ECDH10B_0511	essD
ECDH10B_0512	ybcS
ECDH10B_0513	rzpD
ECDH10B_0514	rzoD
ECDH10B_0515	borD
ECDH10B_0516	ybcV
ECDH10B_0517	ybcW
ECDH10B_0518	nohB
ECDH10B_0522	appY
ECDH10B_0523	ompT
ECDH10B_0524	envY
ECDH10B_0525	ybcH
ECDH10B_0526	nfrA
ECDH10B_0527	nfrB
ECDH10B_0528	cusS
ECDH10B_0529	cusR
ECDH10B_0530	cusC
ECDH10B_0531	cusF
ECDH10B_0532	cusB
ECDH10B_0533	cusA
ECDH10B_0534	pheP
ECDH10B_0535	ybdG
ECDH10B_0536	nfnB
ECDH10B_0537	ybdF
ECDH10B_0538	ybdJ
ECDH10B_0539	ybdK
EBG00001089604	sok
ECDH10B_0540	hokE
ECDH10B_0541	insL-2
ECDH10B_0542	entD
ECDH10B_0543	fepA
ECDH10B_0544	fes
ECDH10B_0545	ybdZ
ECDH10B_0546	entF
ECDH10B_0547	fepE
ECDH10B_0548	fepC
ECDH10B_0549	fepG
ECDH10B_0550	fepD
ECDH10B_0551	entS
ECDH10B_0552	fepB
ECDH10B_0553	entC
ECDH10B_0554	entE
ECDH10B_0555	entB
ECDH10B_0556	entA
ECDH10B_0557	ybdB
ECDH10B_0558	cstA
ECDH10B_0559	ybdD
ECDH10B_0560	ybdH
ECDH10B_0561	ybdL
ECDH10B_0562	ybdM
ECDH10B_0563	ybdN
ECDH10B_0564	ybdO
ECDH10B_0565	dsbG
EBG00001089732	STnc70
ECDH10B_0566	ahpC
ECDH10B_0567	ahpF
ECDH10B_0568	uspG
ECDH10B_0569	ybdR
ECDH10B_0570	rnk
ECDH10B_0571	rna
ECDH10B_0572	citT
ECDH10B_0573	citG
ECDH10B_0574	citX
ECDH10B_0575	citF
ECDH10B_0576	citE
ECDH10B_0577	citD
ECDH10B_0578	citC
ECDH10B_0579	citA
ECDH10B_0580	citB
ECDH10B_0581	dcuC
ECDH10B_0582	crcA
ECDH10B_0583	cspE
ECDH10B_0584	crcB
ECDH10B_0588	tatE
ECDH10B_0589	lipA
ECDH10B_0590	ybeF
ECDH10B_0591	lipB
